PN  Model 270/250 Research Electrochemistry Software 
FV  4.40 
EXT CV  CYCLIC VOLTAMMETRY
DAT ASCII
PS  ID 2532
PS  VER 219
PS  OPTION 90 000006E2111500C9 000005CDF47200C8 000006E1E06F0196
FLS NORMAL
DR  05-28-15
TR  15:03:05
PC  I E T
LBT 
LBX 
LBY 
LBU NO
LBZ NO
OC  -0.062
DE1 
PT  PASS
CP  PASS vs. R
CT  PASS
DT  PASS
IP   -0.300 vs. R
ET  15 S
V1    0.300 vs. R
VD  PASS
V2   -0.300 vs. R
FP   -0.300 vs. R
SI   4.000E-03
SR   1.000E-01
ST   4.000E-02
NC  10
SC  -1
AM  4/4
CR  AUTO
NP  3001
RU   0.000E+00
IR  NONE
FL  NONE
RT  HIGH STABILITY
REF 0.22200 AgCl
WRK SOLID
AR   1.000E+00
AU  NO
END
 1.7800E-07 -3.0000E-01  4.0000E-02
 1.7800E-07 -2.9600E-01  8.0000E-02
 1.7400E-07 -2.9200E-01  1.2000E-01
 1.6200E-07 -2.8800E-01  1.6000E-01
 1.5800E-07 -2.8400E-01  2.0000E-01
 1.4900E-07 -2.8000E-01  2.4000E-01
 1.5600E-07 -2.7600E-01  2.8000E-01
 1.4200E-07 -2.7200E-01  3.2000E-01
 1.3300E-07 -2.6800E-01  3.6000E-01
 1.3600E-07 -2.6400E-01  4.0000E-01
 1.4000E-07 -2.6000E-01  4.4000E-01
 1.3100E-07 -2.5600E-01  4.8000E-01
 1.2300E-07 -2.5200E-01  5.2000E-01
 1.2100E-07 -2.4800E-01  5.6000E-01
 1.3100E-07 -2.4400E-01  6.0000E-01
 1.2000E-07 -2.4000E-01  6.4000E-01
 1.0900E-07 -2.3600E-01  6.8000E-01
 1.1600E-07 -2.3200E-01  7.2000E-01
 1.1500E-07 -2.2800E-01  7.6000E-01
 1.1000E-07 -2.2400E-01  8.0000E-01
 9.4000E-08 -2.2000E-01  8.4000E-01
 1.0100E-07 -2.1600E-01  8.8000E-01
 9.4000E-08 -2.1200E-01  9.2000E-01
 8.7000E-08 -2.0800E-01  9.6000E-01
 8.2000E-08 -2.0400E-01  1.0000E+00
 8.0000E-08 -2.0000E-01  1.0400E+00
 7.4000E-08 -1.9600E-01  1.0800E+00
 6.5000E-08 -1.9200E-01  1.1200E+00
 5.8000E-08 -1.8800E-01  1.1600E+00
 6.1000E-08 -1.8400E-01  1.2000E+00
 6.0000E-08 -1.8000E-01  1.2400E+00
 4.1000E-08 -1.7600E-01  1.2800E+00
